:START_ID,:END_ID,first_year:INT,pub_count:INT,:TYPE
33,398,2015,1,coauthor
33,404,2015,1,coauthor
33,407,2015,1,coauthor
33,410,2015,1,coauthor
33,440,2015,1,coauthor
33,452,2015,1,coauthor
33,466,2015,1,coauthor
33,471,2015,1,coauthor
33,474,2015,1,coauthor
33,476,2015,1,coauthor
33,481,2015,1,coauthor
33,483,2015,1,coauthor
33,490,2015,1,coauthor
33,491,2015,1,coauthor
33,505,2015,1,coauthor
33,506,2015,1,coauthor
33,507,2015,1,coauthor
33,509,2015,1,coauthor
33,512,2015,1,coauthor
33,513,2015,1,coauthor
33,517,2015,1,coauthor
33,518,2015,1,coauthor
33,524,2015,1,coauthor
33,544,2015,1,coauthor
33,547,2015,1,coauthor
33,551,2015,1,coauthor
33,552,2015,1,coauthor
33,575,2015,1,coauthor
33,578,2015,1,coauthor
33,579,2015,1,coauthor
33,580,2015,1,coauthor
33,581,2015,1,coauthor
33,582,2015,1,coauthor
33,583,2015,1,coauthor
33,586,2015,1,coauthor
33,587,2015,1,coauthor
33,588,2015,1,coauthor
33,592,2015,1,coauthor
33,596,2015,1,coauthor
33,601,2015,1,coauthor
33,602,2015,1,coauthor
33,603,2015,1,coauthor
