:ID,fullname:STRING,lab:STRING,:LABEL
598,YVES MEINARD,LAMSADE,Author
599,ZAHRA FERDOUSI,EXT,Author
600,ZAHRA VAHIDI FERDOUSI,EXT,Author
601,ZEHUA HUANG,EXT,Author
602,ZHAOYUN CHEN,EXT,Author
603,ZHE CHEN,EXT,Author
604,ZHE ZHANG,EXT,Author
605,ZHENYU HE,EXT,Author
606,ZHIBIN HONG,EXT,Author
607,ZIED OTHMANE,EXT,Author
608,ÉDOUARD BONNET,EXT,Author
